,precision,recall,f1-score,support
0,0.9734693877551021,0.9636363636363636,0.9685279187817258,990.0
1,0.9806167400881057,0.9806167400881057,0.9806167400881057,1135.0
2,0.9467054263565892,0.9403272377285852,0.9435055528730082,1039.0
3,0.9445544554455445,0.9146692233940557,0.9293716512420848,1043.0
4,0.9439918533604889,0.9420731707317073,0.943031536113937,984.0
5,0.9013452914798207,0.9594272076372315,0.9294797687861273,838.0
6,0.9718162839248434,0.9442190669371197,0.9578189300411524,986.0
7,0.9474708171206225,0.9539666993143977,0.9507076622742803,1021.0
8,0.9250513347022588,0.9484210526315789,0.9365904365904366,950.0
9,0.931615460852329,0.9270216962524654,0.9293129016312407,1014.0
accuracy,0.9475,0.9475,0.9475,0.9475
macro avg,0.9466637051085705,0.9474378458351611,0.94689630984221,10000.0
weighted avg,0.9478782672360019,0.9475,0.9475492804270956,10000.0
